Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0603,2,1u,C15849
"C200, C201, C204, C205, C206, C207, C208, C209, C210, C214, C300, C301, C302, C303, C304",0402,15,100n,C1525
"C202, C203, C211",0402,3,1u,C52923
"C3, C4",1206,2,4.7u,C29823
D1,SOT-723,1,ESD7L5.0DT5G,C2844719
D2,D_SOD-323,1,D_Schottky,C191023
"D6, D7",0603,2,RED,C2286
FB3,0805,1,100Ω@100MHz,C1015
IC1,SON95P300X300X55-7N,1,NCP708MU330TAG,C183178
J1,USB_C_Receptacle_GCT_USB4125-xx-x_6P_TopMnt_Horizontal,1,USB_C_Receptacle_PowerOnly_6P,C456012
J100,PinHeader_1x05_P2.54mm_Vertical,1,Conn_01x05_Pin,
J2,CONN_UJ2-AH-SMT_CUD,1,USB_A,
J300,DSUB-9_Female_EdgeMount_P2.77mm,1,DE9_Receptacle,
"R200, R201",0402,2,27R,C25092
R203,0402,1,1k,
"R204, R207",0402,2,10k,
"R6, R9",0402,2,330,C25104
"R7, R8",0402,2,5K1,
SW1,SW_SPST_B3U-1000P,1,SW_Push,C498294
U200,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,
U201,Winbond_USON-8-1EP_3x2mm_P0.5mm_EP0.2x1.6mm,1,W25Q16JVUXIQ,C2843335
"U300, U301, U302, U303, U304",SOT-353_SC-70-5,5,74AHCT1G125,
X100,Crystal_SMD_2016-4Pin_2.0x1.6mm,1,ASE-12MHz,C669076
