Designator,Mid X,Mid Y,Rotation,Layer
C100,130.455,-71.25,90.0,top
C101,135.2925,-74.65,180.0,top
C200,144.6,-73.6,180.0,top
C201,157.75,-72.05,0.0,top
C202,146.275,-70.9,180.0,top
C203,146.275,-69.9,180.0,top
C204,148.825,-78.13,270.0,top
C205,152.425,-78.13,270.0,top
C206,157.75,-73.025,0.0,top
C207,152.425,-67.8,90.0,top
C208,148.875,-67.8,90.0,top
C209,146.27,-72.65,180.0,top
C210,147.875,-67.82,90.0,top
C211,160.2,-77.35,270.0,top
C214,140.92,-78.25,0.0,top
C300,137.8,-61.38,270.0,top
C301,145.2,-61.4,270.0,top
C302,134.0,-61.4,270.0,top
C303,130.2,-61.32,270.0,top
C304,126.4,-61.4,270.0,top
C305,165.85,-61.35,270.0,top
C306,162.05,-61.35,270.0,top
C307,150.65,-61.3,270.0,top
C308,154.45,-61.35,270.0,top
C309,158.25,-61.35,270.0,top
C5,125.5,-73.0,270.0,top
C6,127.5,-73.0,270.0,top
D1,165.15,-68.1,270.0,top
D2,127.8,-82.5125,90.0,top
D3,165.12,-82.5375,90.0,top
D4,122.4,-81.7,90.0,top
D5,171.55,-81.725,90.0,top
FB3,126.5,-70.6,0.0,top
J1,119.3,-70.7,270.0,top
J100,176.35,-75.12,0.0,top
J2,165.62,-88.575,0.0,top
J3,128.3,-88.6,0.0,top
J300,131.55,-54.77,180.0,top
J301,162.75,-54.77,180.0,top
R1,163.35,-67.7,270.0,top
R2,163.42,-82.665,90.0,top
R200,128.65,-80.54,90.0,top
R201,126.95,-80.54,90.0,top
R203,148.5,-83.5,270.0,top
R204,149.0,-81.6,0.0,top
R205,153.425,-78.2,90.0,top
R206,154.425,-78.2,90.0,top
R207,161.8,-76.9,0.0,top
R208,164.95,-72.7,270.0,top
R3,167.37,-82.665,90.0,top
R4,125.9,-82.6,90.0,top
R5,130.05,-82.79,90.0,top
R7,125.45,-69.1,0.0,top
R8,125.46,-68.1,0.0,top
SW1,151.5,-83.95,0.0,top
SW2,168.7,-75.4,0.0,top
U100,135.9375,-69.8825,180.0,top
U200,151.425,-73.05,90.0,top
U201,143.35,-83.45,0.0,top
U300,139.7,-61.0,270.0,top
U301,143.25,-61.0,270.0,top
U302,135.9,-61.0,270.0,top
U303,132.1,-61.0,270.0,top
U304,128.3,-61.0,270.0,top
U305,167.75,-60.95,270.0,top
U306,163.95,-60.95,270.0,top
U307,152.55,-60.95,270.0,top
U308,156.35,-60.95,270.0,top
U309,160.15,-60.95,270.0,top
X100,160.8,-74.9,90.0,top
